English,ASL Gloss
My sister is having another baby,ANOTHER BABY MY SISTER BORN-WILL
I love to cook hamburgers on the XXXXX,XXXXX HAMBURGER COOK ME LOVE
I like to ice skate on our XXXXX,OUR XXXXX ICE SKATE ME LIKE
I like to be active and not sit and watch TV all day,ALL DAY ME LIKE ACTIVE NOT SIT WATCH TV
Are you prepared for hurricane XXXXX,HURRICANE XXXXX YOU READY PREPARE
The dinner party was awkward because most of us did not know each other,DINNER PARTY AWKWARD WHY MOST US NOT KNOW EACH OTHER
My favorite author is me,MY FAVORITE AUTHOR WHO ME
I love anything that has chocolate in it,ME LOVE ANYTHING HAVE CHOCOLATE INSIDE
Do you like to watch baseball,BASEBALL WATCH YOU LIKE
My daughter gave me beautiful flowers,BEAUTIFUL FLOWERS MY DAUGHTER GIVE-ME
Can you hear all the birds singing,ALL BIRDS SINGING HEAR CAN YOU
I watched a boring movie last night and fell asleep,LAST NIGHT BORING MOVIE ME WATCH FALL-ASLEEP ME
I like to eat cheese on my XXXXX,MY XXXXX CHEESE POUR ME LIKE
I need to drink coffee to wake me up every morning,EVERY MORNING ME WAKE UP HOW COFFEE NEED DRINK ME
I encourage my students to attend college,COLLEGE GO-TO MY STUDENTS ME ENCOURAGE
I enjoy playing with my cousins at my grandmother's house,GRANDMOTHER'S HOUSE COUSINS PLAY-AROUND ME ENJOY
My sister is Deaf and goes to Gallaudet University,GALLAUDET UNIVERSITY MY DEAF SISTER GO-TO
I eat ice cream for dessert every night,EVERY NIGHT DESSERT ICE CREAM ME EAT
I'm looking for a new doctor,NEW DOCTOR LOOK-FOR ME
I need a drink of water,WATER DRINK ME NEED
Luckily my family is very supportive,LUCKY ME WHY MY FAMILY SUPPORT ME
My grandfather is a dairy farmer,MY GRANDFATHER WORK WHAT DAIRY FARMER
My father in law worked at a factory for twenty five years,25 YEARS FACTORY MY FATHER WORK
I like to watch college football games,COLLEGE FOOTBALL GAMES WATCH ME LIKE
My family grows watermelon in our XXXXX,OUR XXXXX WATERMELON MY FAMILY GROW GROW GROW
Every Tuesday my family has game night,EVERY TUESDAY MY FAMILY DO-DO GAME NIGHT
My girlfriends are coming over for dinner tonight,TONIGHT DINNER MY GIRLFRIENDS COME OVER
My daughter is always happy,MY DAUGHTER SHE ALWAYS HAPPY
I bought a new hat,NEW HAT ME BUY FINISH
I heard you were quiting your job,YOUR JOB YOU QUIT ME HEARD
